seconds,mean_intensity
-20,3.674
-10,3.221
0,1.184
10,1.847
20,2.068
30,1.537
40,2.305
50,2.526
60,2.263
70,2.311
80,2.295
90,2.368
100,2.342
110,2.300
120,1.874
130,2.147
140,2.542
150,2.800
160,2.758
170,2.489
180,2.379
190,2.263
200,2.526
210,2.726
220,2.579
230,2.305
240,2.679
250,2.968
260,2.889
270,2.516
280,2.653
290,2.368
300,2.347
310,2.784
320,2.742
330,3.068
340,2.284
350,2.216
360,2.363
370,2.195
380,2.353
390,2.526
400,2.747
410,3.284
420,2.674
430,2.758
440,2.284
450,2.221
460,2.579
470,2.584
