seconds,mean_intensity
-20,3.989
-10,3.709
0,1.277
10,1.643
20,1.722
30,1.705
40,2.156
50,2.176
60,1.884
70,2.110
80,1.964
90,2.033
100,2.219
110,2.307
120,2.529
130,2.282
140,2.287
150,2.169
160,2.381
170,2.269
180,2.350
190,2.172
200,2.494
210,2.413
220,2.447
230,2.202
240,2.466
250,2.572
260,2.481
270,2.468
280,2.271
290,2.236
300,2.362
310,2.393
320,2.503
330,2.244
340,2.145
350,2.096
360,2.361
370,1.997
380,2.246
390,2.087
400,1.999
410,2.193
420,2.140
430,2.228
440,2.083
450,2.287
460,2.132
