seconds,mean_intensity
-20,3.081
-10,3.036
0,2.837
10,3.015
20,3.071
30,2.982
40,3.204
50,2.845
60,2.812
70,2.705
80,2.802
90,3.051
100,2.980
110,2.763
120,2.567
130,3.277
140,2.964
150,2.710
160,2.517
170,2.160
180,2.674
190,3.031
200,2.560
210,3.430
220,2.751
230,2.789
240,2.855
250,2.349
260,2.679
270,2.527
280,2.926
290,2.774
300,2.455
310,2.552
320,2.310
330,2.585
340,2.738
350,2.524
360,2.417
370,2.539
380,2.603
390,2.644
400,2.626
410,2.618
420,2.842
430,2.618
440,2.674
450,2.628
460,2.514
