seconds,mean_intensity
-20,4.809
-10,4.246
0,1.708
10,2.089
20,2.163
30,2.489
40,2.288
50,2.619
60,2.985
70,2.739
80,2.903
90,2.754
100,3.089
110,2.873
120,3.081
130,2.860
140,3.078
150,3.021
160,2.987
170,3.047
180,3.013
190,3.551
200,2.981
210,3.318
220,3.110
230,3.218
240,3.377
250,3.441
260,3.362
270,3.572
280,3.161
290,3.123
300,2.839
310,3.108
320,3.292
330,3.303
340,3.716
350,3.284
360,3.333
370,3.489
380,3.292
390,3.390
400,3.216
410,3.390
420,3.989
430,3.970
440,3.803
450,3.403
460,3.494
