seconds,mean_intensity
-20,4.788
-10,4.733
0,4.314
10,4.547
20,4.612
30,4.602
40,4.509
50,4.626
60,4.656
70,4.328
80,4.426
90,4.165
100,3.858
110,4.237
120,3.853
130,4.028
140,4.030
150,4.102
160,3.930
170,3.881
180,3.865
190,4.042
200,3.921
210,4.012
220,3.763
230,3.951
240,3.974
250,3.753
260,3.672
270,3.844
280,4.040
290,3.956
300,4.298
310,4.233
320,3.821
330,3.823
340,3.991
350,3.881
360,3.974
370,3.786
380,3.765
390,3.963
400,4.374
410,4.298
420,4.458
430,4.214
440,4.349
450,3.921
460,3.674
