seconds,mean_intensity
-20,2.245
-10,2.391
0,2.202
10,2.247
20,2.258
30,2.155
40,2.084
50,1.904
60,2.002
70,2.149
80,2.039
90,2.239
100,1.936
110,1.908
120,1.994
130,2.165
140,2.315
150,2.244
160,2.034
170,2.152
180,2.059
190,2.140
200,2.033
210,2.144
220,2.185
230,2.118
240,2.224
250,1.964
260,2.051
270,2.298
280,2.191
290,2.070
300,2.323
310,2.124
320,2.366
330,2.484
340,2.048
350,2.228
360,2.130
370,2.158
380,2.025
390,2.085
400,2.225
410,2.325
420,2.062
430,2.127
440,2.430
450,2.057
460,2.362
470,2.129
