seconds,mean_intensity
-20,5.187
-10,4.728
0,1.939
10,2.294
20,2.859
30,3.358
40,2.972
50,2.924
60,3.242
70,3.052
80,3.122
90,4.083
100,3.489
110,3.532
120,3.067
130,3.104
140,3.046
150,3.199
160,2.957
170,3.471
180,2.853
190,3.083
200,3.251
210,2.645
220,3.422
230,3.615
240,3.505
250,3.263
260,3.183
270,3.648
280,3.523
290,3.098
300,3.300
310,3.260
320,3.098
330,3.407
340,3.471
350,3.517
360,2.881
370,2.774
380,3.963
390,3.199
400,3.089
410,3.303
420,3.391
430,3.263
440,3.131
450,2.884
460,3.220
