seconds,mean_intensity
-20,3.415
-10,2.885
0,1.207
10,1.469
20,1.540
30,1.729
40,1.610
50,1.685
60,1.690
70,1.981
80,1.780
90,1.850
100,2.131
110,2.157
120,2.110
130,2.100
140,2.195
150,2.052
160,1.854
170,1.829
180,1.938
190,1.885
200,2.005
210,2.000
220,1.860
230,2.104
240,2.182
250,2.094
260,2.114
270,2.136
280,2.073
290,1.930
300,1.969
310,2.199
320,1.902
330,1.985
340,2.046
350,2.081
360,1.921
370,2.128
380,1.829
390,2.200
400,1.841
410,1.759
420,1.935
430,2.000
440,1.828
450,2.022
460,1.969
