seconds,mean_intensity
-20,2.723
-10,2.774
0,1.085
10,1.560
20,1.613
30,1.881
40,1.730
50,1.903
60,1.937
70,1.739
80,1.887
90,2.610
100,2.167
110,2.226
120,2.333
130,2.393
140,2.003
150,1.579
160,1.906
170,1.975
180,1.937
190,2.135
200,2.069
210,2.000
220,1.903
230,2.079
240,2.104
250,1.940
260,2.145
270,2.286
280,2.101
290,2.145
300,2.396
310,2.491
320,2.478
330,2.009
340,1.928
350,2.126
360,1.934
370,2.208
380,2.358
390,2.469
400,2.409
410,2.528
420,2.431
430,2.745
440,2.302
450,2.299
460,2.421
470,2.248
