seconds,mean_intensity
-20,4.379
-10,4.231
0,4.052
10,3.776
20,3.762
30,3.648
40,3.886
50,3.966
60,3.862
70,3.838
80,3.900
90,3.652
100,3.366
110,3.386
120,3.659
130,3.724
140,3.817
150,3.886
160,4.020
170,4.287
180,4.423
190,4.427
200,4.365
210,4.399
220,4.560
230,4.457
240,4.461
250,4.290
260,4.177
270,4.102
280,3.829
290,3.966
300,4.007
310,3.799
320,4.427
330,4.195
340,4.338
350,3.867
360,4.177
370,3.666
380,3.802
390,4.317
400,3.969
410,4.123
420,3.792
430,3.556
440,4.034
450,4.256
460,4.181
