seconds,mean_intensity
-20,2.408
-10,2.360
0,0.983
10,1.217
20,1.268
30,1.106
40,1.228
50,1.211
60,1.502
70,1.209
80,1.291
90,1.309
100,1.308
110,1.321
120,1.387
130,1.474
140,1.447
150,1.502
160,1.611
170,1.475
180,1.611
190,1.330
200,1.557
210,1.692
220,1.577
230,1.519
240,1.328
250,1.417
260,1.600
270,1.506
280,1.621
290,1.494
300,1.387
310,1.440
320,1.268
330,1.292
340,1.243
350,1.192
360,1.240
370,1.392
380,1.449
390,1.391
400,1.226
410,1.421
420,1.517
430,1.408
440,1.570
450,1.472
460,1.374
