seconds,mean_intensity
-20,3.721
-10,3.989
0,1.797
10,2.355
20,2.420
30,2.817
40,2.913
50,3.130
60,3.352
70,3.070
80,2.972
90,3.352
100,3.352
110,3.130
120,2.831
130,2.730
140,3.251
150,3.008
160,2.935
170,2.679
180,2.800
190,3.228
200,3.380
210,3.042
220,3.169
230,3.273
240,3.327
250,2.952
260,2.992
270,3.206
280,3.194
290,3.127
300,3.192
310,3.485
320,3.361
330,2.949
340,3.203
350,3.189
360,3.397
370,3.107
380,2.977
390,3.428
400,3.076
410,2.617
420,3.107
430,2.837
440,2.966
450,3.313
460,2.924
