seconds,mean_intensity
-20,3.266
-10,2.923
0,1.655
10,1.783
20,1.732
30,1.796
40,1.780
50,1.877
60,1.870
70,1.773
80,1.951
90,2.081
100,2.018
110,2.176
120,2.167
130,1.991
140,1.917
150,1.935
160,2.048
170,2.039
180,2.012
190,2.069
200,2.009
210,2.028
220,2.000
230,1.940
240,2.241
250,2.039
260,2.206
270,2.283
280,2.451
290,2.310
300,2.114
310,2.109
320,2.090
330,2.151
340,2.018
350,1.995
360,1.819
370,1.998
380,2.016
390,1.963
400,1.919
410,1.965
420,2.012
430,1.961
440,2.085
450,1.947
460,1.981
