seconds,mean_intensity
-20,4.096
-10,3.685
0,3.741
10,3.862
20,3.842
30,4.054
40,4.145
50,4.229
60,4.084
70,3.879
80,3.525
90,3.968
100,4.296
110,3.786
120,3.764
130,3.606
140,3.328
150,3.754
160,3.419
170,3.539
180,3.872
190,3.887
200,3.855
210,3.815
220,3.919
230,4.131
240,4.281
250,3.828
260,3.837
270,3.879
280,4.276
290,4.069
300,4.084
310,3.990
320,4.589
330,4.153
340,3.810
350,3.990
360,3.933
370,3.828
380,3.621
390,3.872
400,4.017
410,3.815
420,3.732
430,3.426
440,3.522
450,3.567
460,3.510
