,sample,mig_speed_um_per_min
0,Lar3xGFPx1_01,0.46970367562477600
1,Lar3xGFPx1_02,0.39441215587825700
2,Lar3xGFPx1_03,0.4782559130147080
3,Lar3xGFPx1_04,0.588051028725395
4,Lar3xGFPx1_05,0.3753194411886760
5,Lar3xGFPx1_06,0.5805920517578910
6,Lar3xGFPx1_07,0.3825859101548010
7,Lar3xGFPx1_08,0.5668851532767800
8,Lar3xGFPx1_09,0.6132997478265110
9,Lar3xGFPx1_10,0.7265125079464720
10,Lar3xGFPx2_01,0.8747515047296300
11,Lar3xGFPx2_02,0.3446502700401970
12,Lar3xGFPx2_03,0.3061027107739800
13,Lar3xGFPx2_04,0.12524304726504400
14,Lar3xGFPx2_05,0.7122470884919200
15,Lar3xGFPx2_06,0.5193168550702370
16,Lar3xGFPx2_07,0.8613292545842850
17,Lar3xGFPx2_08,0.24002217381539400
18,Lar3xGFPx2_09,0.32191689984674900
19,Lar3xGFPx2_10,0.1422214011565000
20,Lar3xGFPx2_11,0.5134971949071940
21,Lar3xGFPx2_12,0.2403005519263670
22,Lar3xGFPx2_13,0.12567557007437600
23,Lar3xGFPx2_14,0.3833646870879650
24,Lar3xGFPx2_15,0.017706507551719300
25,w1118_01,0.6216419231057480
26,w1118_02,0.5023344940147010
27,w1118_03,0.778251046589874
28,w1118_04,0.39955272323183100
29,w1118_05,0.4343040797413340
30,w1118_06,0.4415981761069510
31,w1118_07,0.6211030361295450
32,w1118_08,0.5270900893064320
