minutes,mean_intensity
-1,13.88
-0.5,14
0,4.75
0.5,4.79
1,5.32
1.5,5.1
2,6.63
2.5,7.12
3,7.54
3.5,7.07
4,6.62
4.5,6.88
5,8.76
5.5,7.35
6,7.78
6.5,7.83
7,6.42
7.5,8.81
8,8.16
8.5,9.22
9,9.67
9.5,9.49
10,8.77
10.5,8
11,8.44
11.5,8
12,8.3
12.5,8.25
13,7.96
13.5,7.85
14,8.5
14.5,8.25
15,7.17
15.5,7.95
16,7.87
16.5,7.48
17,7.41
17.5,7.74
18,7.57
18.5,7.7
19,7.92
19.5,7.85
20,8.2
20.5,7.8
21,7
21.5,7.21
22,6.99
22.5,6.51
23,7.71
23.5,7.22
24,7.13
24.5,7.91
25,6.96
25.5,7
26,6.87
26.5,6.07
27,6.36
27.5,6.25
28,6.52
28.5,6.44
29,6.59
