minutes,mean_intensity
-1,7.891
-0.5,8.297
0,1.97
0.5,2.064
1,2.169
1.5,2.256
2,2.406
2.5,2.669
3,2.805
3.5,2.346
4,3.466
4.5,3.053
5,4.06
5.5,4.008
6,3.165
6.5,3.868
7,4.395
7.5,4.188
8,4.015
8.5,4.177
9,4.207
9.5,4.519
10,4.214
10.5,3.09
11,3.861
11.5,4.417
12,4.305
12.5,4.297
13,4.143
13.5,3.639
14,4.263
14.5,4.342
15,5.004
15.5,4.515
16,6.083
16.5,6.372
17,6.353
17.5,5.737
18,5.143
18.5,6.064
19,4.59
19.5,5.887
20,4.598
20.5,5.974
21,4.414
21.5,4.827
22,4.68
22.5,4.605
23,5.782
23.5,6.812
24,6.812
24.5,5.707
25,4.665
25.5,4.846
26,4.91
26.5,4.65
27,4.816
27.5,4.56
28,5.094
28.5,3.515
29,4.297
