minutes,mean_intensity
-1,14.3
-0.5,14.71
0,13.77
0.5,13.5
1,12.48
1.5,12.91
2,11.68
2.5,13.29
3,12.88
3.5,11.32
4,11.77
4.5,11.97
5,12.14
5.5,12.37
6,12.81
6.5,11.87
7,10.73
7.5,11.31
8,11.03
8.5,10.63
9,10.84
9.5,11.22
10,9.99
10.5,10.45
11,10.21
11.5,11.01
12,10.62
12.5,10.74
13,10.96
13.5,10.72
14,11.02
14.5,10.38
15,10.74
15.5,9.79
16,9.74
16.5,9.13
17,8.86
17.5,8.55
18,7.67
18.5,7.92
19,7.63
19.5,7.67
20,7.4
20.5,6.85
21,6.89
21.5,6.88
22,6.44
22.5,7.88
23,7.43
23.5,7.23
24,7.7
24.5,7.1
25,6.53
25.5,5.54
26,6.71
26.5,6.63
27,7.28
27.5,7.74
28,8.7
28.5,7.99
29,8.01
