minutes,mean_intensity
-1,11.4
-0.5,11.54
0,11.41
0.5,10.6
1,13.36
1.5,9.84
2,12.1
2.5,13.47
3,13.19
3.5,11.61
4,11.81
4.5,13.41
5,13.33
5.5,13.5
6,14.72
6.5,15.54
7,15.54
7.5,12.41
8,11.83
8.5,10.5
9,9.96
9.5,12.52
10,11.64
10.5,11.97
11,10.73
11.5,11.14
12,11.2
12.5,9.83
13,6.81
13.5,6.84
14,6.48
14.5,6.75
15,7.01
15.5,7.12
16,7.32
16.5,6.84
17,6.96
17.5,7.02
18,7.19
18.5,8.21
19,8.18
19.5,7.81
20,8.12
20.5,7.67
21,6.87
21.5,6.86
22,7.52
22.5,7.44
23,7.4
23.5,5.91
24,6.95
24.5,7.55
25,7.01
25.5,6.99
26,7.36
26.5,7.36
27,7.49
27.5,7.22
28,8.48
28.5,9.09
29,7.4
