minutes,mean_intensity
-1,8.98
-0.5,9.46
0,2.09
0.5,2.3
1,2.62
1.5,2.24
2,2.85
2.5,2.69
3,2.86
3.5,2.72
4,2.94
4.5,2.45
5,2.53
5.5,2.59
6,2.51
6.5,4.68
7,3.72
7.5,3.77
8,3.5
8.5,4.52
9,3.73
9.5,4
10,3.77
10.5,3.46
11,3.54
11.5,4.71
12,4.34
12.5,4.35
13,6.19
13.5,5.59
14,5.28
14.5,6.41
15,6.04
15.5,5.66
16,6.88
16.5,7.57
17,6.88
17.5,7.13
18,6.76
18.5,6.18
19,7.19
19.5,6.3
20,5.33
20.5,4.55
21,4.45
21.5,4.02
22,4.27
22.5,4.15
23,6.6
23.5,7.44
24,7.12
24.5,8.08
25,7.12
25.5,6.03
26,6
26.5,5.72
27,6.4
27.5,5.79
28,5.81
28.5,5.65
29,5.55
