minutes,mean_intensity
-1,16.85
-0.5,17.12
0,16.56
0.5,15.96
1,15.79
1.5,16.19
2,16.1
2.5,15.31
3,13.65
3.5,14.61
4,12.73
4.5,15.12
5,14.88
5.5,14
6,13.84
6.5,9.83
7,12.07
7.5,11.74
8,12.33
8.5,10.29
9,12.34
9.5,13.17
10,13.11
10.5,11.65
11,12.35
11.5,13.6
12,15.17
12.5,13.48
13,11.65
13.5,12.06
14,11.16
14.5,10.76
15,8.99
15.5,8.67
16,9.22
16.5,9.56
17,9.56
17.5,9.44
18,8.92
18.5,9.21
19,8.11
19.5,8.8
20,7.04
20.5,9.68
21,9.29
21.5,8.9
22,9.88
22.5,9.26
23,7.41
23.5,8.49
24,9.11
24.5,9.08
25,8.62
25.5,7.94
26,9.9
26.5,8.89
27,8.4
27.5,10.11
28,9.96
28.5,9.68
29,9.29
