minutes,mean_intensity
-1,9.683
-0.5,10.91
0,2.571
0.5,2.947
1,2.836
1.5,3.111
2,2.899
2.5,3.323
3,3.788
3.5,4.016
4,5.571
4.5,7.016
5,4.81
5.5,3.746
6,3.984
6.5,5.228
7,4.127
7.5,4.619
8,4.688
8.5,4.656
9,3.339
9.5,3.434
10,3.175
10.5,3.095
11,2.984
11.5,3.772
12,3.328
12.5,3.608
13,2.455
13.5,3.254
14,3.317
14.5,2.534
15,2.683
15.5,2.19
16,3.09
16.5,2.815
17,3.307
17.5,3.085
18,4.799
18.5,4.979
19,4.365
19.5,3.799
20,3.333
20.5,3.683
21,3.471
21.5,3.947
22,3.275
22.5,3.09
23,3.407
23.5,3.767
24,2.952
24.5,3.132
25,3.683
25.5,4.354
26,3.995
26.5,3.111
27,4.672
27.5,5.323
28,5.439
28.5,3.344
29,3.217
