minutes,mean_intensity
-1,8.02
-0.5,11.67
0,10.4
0.5,8.44
1,8.65
1.5,10.6
2,11.09
2.5,10.91
3,11.24
3.5,10.65
4,11.93
4.5,10.72
5,12.91
5.5,13.44
6,13.86
6.5,14.39
7,14.75
7.5,15.96
8,14.69
8.5,14.77
9,14.28
9.5,13.9
10,13.73
10.5,13.38
11,12.91
11.5,12.68
12,12.35
12.5,11.81
13,11.66
13.5,10.53
14,8.52
14.5,8.59
15,8.57
15.5,8.42
16,8.77
16.5,8.71
17,8.37
17.5,9.56
18,11.05
18.5,11.31
19,9.47
19.5,8.51
20,8.47
20.5,9.12
21,6.4
21.5,7.8
22,7.99
22.5,6.76
23,6.54
23.5,6.34
24,5.4
24.5,5.29
25,5.14
25.5,5.13
26,6.07
26.5,4.51
27,4.55
27.5,5.49
28,5.54
28.5,6.87
29,6.47
