minutes,mean_intensity
-1,10.28
-0.5,10.62
0,1.74
0.5,2.1
1,2.57
1.5,2.47
2,3.46
2.5,2.89
3,3.44
3.5,3.54
4,3.31
4.5,6
5,4.13
5.5,4.34
6,3.84
6.5,4.84
7,4.22
7.5,3.87
8,4.42
8.5,3.99
9,3.21
9.5,2.91
10,4.2
10.5,4.57
11,3.18
11.5,2.94
12,2.4
12.5,1.95
13,2.38
13.5,3.99
14,2.87
14.5,2.21
15,2.69
15.5,2.73
16,2.81
16.5,3.07
17,2.59
17.5,3.04
18,3.38
18.5,2.88
19,4.87
19.5,5.4
20,5.24
20.5,5.01
21,6.93
21.5,7.17
22,6.22
22.5,6.08
23,4.74
23.5,3.75
24,4.39
24.5,4.34
25,4.43
25.5,4.69
26,4.77
26.5,14.06
27,11.78
27.5,6.02
28,6.33
28.5,7.35
29,4.66
