minutes,mean_intensity
-1,12.208
-0.5,10.945
0,2.404
0.5,2.827
1,3.714
1.5,3.725
2,3.894
2.5,3.251
3,3.808
3.5,3.647
4,3.451
4.5,3.757
5,3.561
5.5,3.6
6,3.286
6.5,3.733
7,3.114
7.5,3.067
8,3.212
8.5,3.439
9,3.847
9.5,3.82
10,3.592
10.5,3.408
11,2.678
11.5,3.29
12,3.18
12.5,3.824
13,3.561
13.5,4.498
14,4.318
14.5,4.024
15,3.941
15.5,3.918
16,3.929
16.5,4.871
17,4.522
17.5,4.894
18,4.706
18.5,4.475
19,4.388
19.5,4.745
20,4.376
20.5,5.569
21,4.204
21.5,4.11
22,3.275
22.5,3.945
23,3.408
23.5,3.243
24,3.69
24.5,3.478
25,3.373
25.5,3.392
26,3.949
26.5,3.796
27,3.584
27.5,4.035
28,3.38
28.5,3.224
29,3.702
