minutes,mean_intensity
-1,5.466
-0.5,5.604
0,2.135
0.5,2.109
1,2.094
1.5,2.604
2,2.232
2.5,3.466
3,3.398
3.5,4.13
4,4.365
4.5,4.599
5,4.602
5.5,4.763
6,4.641
6.5,4.552
7,3.833
7.5,3.617
8,3.161
8.5,4.138
9,3.281
9.5,3.273
10,3.016
10.5,3.951
11,3.844
11.5,4.542
12,3.667
12.5,3.284
13,3.052
13.5,3.086
14,3.771
14.5,3.57
15,4.125
15.5,4.581
16,4
16.5,3.896
17,4.156
17.5,4.19
18,4.102
18.5,3.049
19,4.242
19.5,4.471
20,4.57
20.5,4.154
21,5.06
21.5,4.625
22,5.669
22.5,5.826
23,5.362
23.5,5.161
24,3.997
24.5,3.698
25,4.068
25.5,4.599
26,3.922
26.5,4.263
27,3.906
27.5,5.456
28,5.396
28.5,5.938
29,5.497
