minutes,mean_intensity
-1,11.05
-0.5,9.03
0,8.67
0.5,6.85
1,8.36
1.5,9.57
2,9.1
2.5,7.95
3,7.12
3.5,10.72
4,12.96
4.5,11.8
5,11.59
5.5,12.84
6,12.08
6.5,11.43
7,13.19
7.5,12.57
8,8.42
8.5,9.84
9,9.41
9.5,9.91
10,9.61
10.5,10.09
11,9.48
11.5,9.78
12,10.06
12.5,8.74
13,10.07
13.5,11.01
14,11.46
14.5,12.97
15,13.95
15.5,13.04
16,13.52
16.5,11.1
17,12.47
17.5,9.72
18,10.39
18.5,13.01
19,10.6
19.5,11.09
20,10.99
20.5,11.52
21,11.24
21.5,10.46
22,9.32
22.5,11.05
23,10.84
23.5,10.34
24,9.2
24.5,9.82
25,9.01
25.5,8.41
26,8.51
26.5,10.33
27,9.15
27.5,9.32
28,7.84
28.5,7.95
29,8.26
