minutes,mean_intensity
-1,7.47
-0.5,8.64
0,9.13
0.5,9.63
1,9.38
1.5,9.4
2,8.57
2.5,7.89
3,7.82
3.5,6.91
4,9.08
4.5,8.57
5,7.77
5.5,8.39
6,8.94
6.5,7.21
7,7.04
7.5,6.89
8,6.3
8.5,6.29
9,6.5
9.5,6
10,6.44
10.5,7.15
11,5.23
11.5,4.97
12,5.12
12.5,5.66
13,5.94
13.5,6.19
14,6.81
14.5,7.03
15,6.43
15.5,6.89
16,5.93
16.5,5.82
17,5.95
17.5,6.69
18,6
18.5,6.77
19,6.07
19.5,7.35
20,8.48
20.5,5.77
21,5.14
21.5,6.05
22,5.94
22.5,6.14
23,5.68
23.5,5.84
24,5.03
24.5,4.93
25,5.11
25.5,5.41
26,5.87
26.5,5.54
27,6
27.5,6.6
28,5.3
28.5,5.3
29,5.78
