minutes,mean_intensity
-1,12.574
-0.5,13.931
0,3
0.5,4.706
1,4.025
1.5,3.549
2,5.228
2.5,5.22
3,6.492
3.5,5.618
4,5.868
4.5,5.03
5,4.734
5.5,3.981
6,3.585
6.5,4.288
7,5.223
7.5,4.791
8,6.266
8.5,6.038
9,5.849
9.5,5.907
10,5.11
10.5,5.06
11,4.962
11.5,5.777
12,6.157
12.5,6.225
13,6.025
13.5,6.198
14,5.387
14.5,4.887
15,5.514
15.5,5.874
16,6.17
16.5,6.357
17,5.602
17.5,5.629
18,5.527
18.5,5.343
19,5.588
19.5,5.302
20,5.184
20.5,5.772
21,5.835
21.5,5.934
22,5.868
22.5,5.626
23,5.327
23.5,5.209
24,5.797
24.5,5.456
25,5.302
25.5,4.931
26,4.827
26.5,4.879
27,5.931
27.5,5.396
28,4.742
28.5,4.901
29,5.313
