minutes,mean_intensity
-1,10.09
-0.5,9.76
0,1.98
0.5,3.38
1,3.52
1.5,2.54
2,4.36
2.5,5.28
3,4.59
3.5,4.95
4,4.61
4.5,4.05
5,3.13
5.5,3.59
6,3.29
6.5,3.71
7,3.75
7.5,2.97
8,2.78
8.5,3.33
9,2.96
9.5,4.44
10,3.87
10.5,3.96
11,4.48
11.5,3.35
12,3.16
12.5,2.96
13,3.84
13.5,3.49
14,4.39
14.5,4.19
15,4.53
15.5,4.41
16,5.57
16.5,4.23
17,7.25
17.5,6.94
18,8.13
18.5,6.33
19,6.23
19.5,4.89
20,4.36
20.5,4.37
21,5.13
21.5,4.33
22,3.86
22.5,3.71
23,3.62
23.5,3.26
24,4.34
24.5,5.31
25,4.05
25.5,4.23
26,4.79
26.5,3.87
27,3.25
27.5,3.79
28,3.3
28.5,3.69
29,3.63
