minutes,mean_intensity
-1,7.32
-0.5,7.63
0,2.62
0.5,2.85
1,2.24
1.5,4.24
2,3.8
2.5,3.28
3,2.97
3.5,2.57
4,2.9
4.5,3.01
5,2.5
5.5,2.3
6,2.94
6.5,2.75
7,3.98
7.5,4.04
8,5.66
8.5,4.62
9,4.85
9.5,4.6
10,3.24
10.5,3.98
11,4.95
11.5,5.68
12,4.27
12.5,3.95
13,3.81
13.5,3.45
14,3.81
14.5,3.69
15,3.17
15.5,3.31
16,2.83
16.5,3.15
17,3.27
17.5,3.49
18,3.18
18.5,3.1
19,3.41
19.5,3.02
20,4.32
20.5,3.82
21,3.62
21.5,3.61
22,3.65
22.5,3.93
23,3.86
23.5,4.98
24,4.09
24.5,4.25
25,4.66
25.5,4.15
26,4.18
26.5,3.96
27,3.9
27.5,3.84
28,3.81
28.5,3.78
29,3.28
