minutes,mean_intensity
-1,9.427
-0.5,10.01
0,2.734
0.5,2.719
1,2.651
1.5,2.57
2,2.452
2.5,2.92
3,4.198
3.5,4.123
4,4.181
4.5,4.686
5,4.897
5.5,4.952
6,4.013
6.5,5.035
7,5.279
7.5,3.897
8,4.621
8.5,3.379
9,2.972
9.5,3.523
10,3.108
10.5,3.344
11,3.214
11.5,3.266
12,3.56
12.5,3.281
13,3.133
13.5,3.45
14,3.216
14.5,3.578
15,3.186
15.5,2.864
16,3.095
16.5,3.206
17,2.327
17.5,3.075
18,3.354
18.5,2.774
19,2.636
19.5,2.636
20,2.191
20.5,2.146
21,2.053
21.5,1.754
22,2.209
22.5,2.053
23,2.781
23.5,2.234
24,2.274
24.5,1.935
25,2.284
25.5,2.663
26,2.583
26.5,3.204
27,3.342
27.5,2.734
28,2.603
28.5,2.422
29,2.897
