minutes,mean_intensity
-1,9.92
-0.5,9.8
0,7.62
0.5,10.42
1,10.79
1.5,11.24
2,11.21
2.5,10.1
3,9.59
3.5,12.02
4,9.78
4.5,8.61
5,10.07
5.5,11.41
6,11.94
6.5,11.13
7,11.81
7.5,12.49
8,12.65
8.5,12.46
9,13.78
9.5,12.17
10,12.14
10.5,9.37
11,10.34
11.5,11.01
12,12.89
12.5,13.2
13,11.34
13.5,10.27
14,10.76
14.5,11.3
15,11.33
15.5,11.14
16,11.17
16.5,10.37
17,9.92
17.5,10.6
18,9.33
18.5,9.69
19,8.55
19.5,9.82
20,10.29
20.5,9.6
21,8.88
21.5,10.28
22,9.47
22.5,10.05
23,9.53
23.5,8.5
24,9.77
24.5,10.3
25,9.61
25.5,8.01
26,8.75
26.5,10.35
27,9.39
27.5,8.25
28,10.2
28.5,8.16
29,7.77
