minutes,mean_intensity
-1,5.86
-0.5,6.3
0,6.17
0.5,6.65
1,6.51
1.5,6.35
2,6.19
2.5,5.85
3,5.46
3.5,5.67
4,5.35
4.5,5.05
5,5.36
5.5,5.12
6,5.5
6.5,5.5
7,5.28
7.5,5.04
8,5.27
8.5,6.44
9,6.2
9.5,5.96
10,5.2
10.5,4.91
11,5.55
11.5,5.71
12,4.92
12.5,4.95
13,4.75
13.5,4.72
14,4.02
14.5,4.14
15,4.42
15.5,4.43
16,4.86
16.5,4.08
17,4.29
17.5,4.89
18,4.49
18.5,4.08
19,4.79
19.5,4.36
20,4.44
20.5,4.99
21,5.1
21.5,5
22,5.73
22.5,5.55
23,5.39
23.5,5.63
24,5.53
24.5,5.28
25,4.72
25.5,4.88
26,5.09
26.5,5.57
27,5.35
27.5,5.46
28,5.71
28.5,5.14
29,5.26
