minutes,mean_intensity
-1,6.409
-0.5,5.783
0,5.941
0.5,6.286
1,5.624
1.5,6.238
2,6.269
2.5,4.918
3,5.018
3.5,5.703
4,5.317
4.5,4.67
5,4.744
5.5,4.558
6,4.174
6.5,4.074
7,4.343
7.5,3.882
8,4.161
8.5,5.217
9,5.261
9.5,5.527
10,5.345
10.5,5.545
11,5.936
11.5,5.601
12,4.841
12.5,4.279
13,4.394
13.5,5.271
14,5.926
14.5,4.754
15,4.708
15.5,4.412
16,5.064
16.5,4.361
17,5.519
17.5,5.514
18,4.453
18.5,5.141
19,4.327
19.5,4.668
20,4.363
20.5,4.309
21,4.547
21.5,4.463
22,3.76
22.5,4.668
23,4.437
23.5,4.642
24,4.471
24.5,4.905
25,5.348
25.5,4.473
26,3.611
26.5,3.289
27,2.668
27.5,3.141
28,3.752
28.5,3.031
29,3.184
