minutes,mean_intensity
-1,5.685
-0.5,5.407
0,1.968
0.5,2.421
1,2.13
1.5,2.755
2,2.12
2.5,2.023
3,2.176
3.5,2.315
4,2.083
4.5,3.486
5,3.185
5.5,3.144
6,3.523
6.5,2.588
7,2.481
7.5,2.579
8,2.861
8.5,3.917
9,4.023
9.5,4.032
10,4.38
10.5,4.236
11,4.31
11.5,4.38
12,4.991
12.5,4.287
13,4.269
13.5,3.977
14,3.685
14.5,3.907
15,4.449
15.5,4.491
16,3.944
16.5,4.218
17,3.616
17.5,3.787
18,3.815
18.5,4.375
19,3.25
19.5,3.361
20,3.991
20.5,4.171
21,3.87
21.5,4.866
22,4.972
22.5,5.542
23,4.657
23.5,3.468
24,3.356
24.5,3.741
25,3.898
25.5,3.801
26,3.755
26.5,4.375
27,4.556
27.5,3.829
28,4.264
28.5,3.583
29,3.852
