minutes,mean_intensity
-1,8.179
-0.5,7.78
0,8.242
0.5,8.036
1,8.072
1.5,7.126
2,6.511
2.5,5.372
3,4.637
3.5,5.404
4,5.843
4.5,4.771
5,5.323
5.5,5.336
6,4.96
6.5,3.942
7,5.256
7.5,4.233
8,3.534
8.5,3.726
9,3.265
9.5,3.126
10,3.731
10.5,3.704
11,3.655
11.5,4.305
12,4.996
12.5,4.004
13,3.623
13.5,3.897
14,3.175
14.5,3.955
15,3.296
15.5,3.789
16,4.466
16.5,4.269
17,5.466
17.5,3.991
18,5.695
18.5,5.242
19,5.108
19.5,3.807
20,5.233
20.5,5.309
21,7.283
21.5,7.072
22,7.099
22.5,6.359
23,5.659
23.5,5.525
24,4.946
24.5,5.309
25,5.865
25.5,5.408
26,5.466
26.5,4.063
27,4.87
27.5,3.865
28,6.628
28.5,7.135
29,7.076
