minutes,mean_intensity
-1,7.03
-0.5,6.95
0,7.6
0.5,7.3
1,8.73
1.5,7.81
2,6.47
2.5,7.12
3,6.25
3.5,7.36
4,6.62
4.5,5.43
5,5.32
5.5,5.81
6,6.79
6.5,5.91
7,5.79
7.5,6.11
8,6.23
8.5,6.92
9,7.04
9.5,7.85
10,6.62
10.5,7.7
11,7.33
11.5,6.52
12,6.5
12.5,6.15
13,6.4
13.5,6.87
14,7.55
14.5,5.37
15,6.64
15.5,7.27
16,7.7
16.5,6.45
17,5.91
17.5,5.67
18,5.96
18.5,6.02
19,6.72
19.5,5.64
20,5.19
20.5,5.81
21,6.15
21.5,5.99
22,6.64
22.5,7.28
23,6.47
23.5,7.26
24,7.7
24.5,6.73
25,6.99
25.5,6.7
26,4.99
26.5,5.32
27,6.21
27.5,6.79
28,7.05
28.5,7.58
29,6.2
