minutes,mean_intensity
-1,13.79
-0.5,13.92
0,12.27
0.5,13.56
1,13.28
1.5,13.92
2,14.09
2.5,12.77
3,12.27
3.5,12.05
4,11.15
4.5,10.57
5,10.69
5.5,10.01
6,9.36
6.5,10.9
7,10.64
7.5,9.8
8,10.04
8.5,10.35
9,11.08
9.5,10.62
10,9.93
10.5,9.67
11,9.37
11.5,9.34
12,9.26
12.5,8.41
13,9.2
13.5,9.44
14,8.5
14.5,7.87
15,8.21
15.5,7.62
16,7.48
16.5,7.67
17,7.9
17.5,7.9
18,7.84
18.5,7.92
19,7.71
19.5,7.87
20,8.76
20.5,8.46
21,8.81
21.5,8.24
22,9.02
22.5,8.85
23,8.91
23.5,8.97
24,9.24
24.5,9.17
25,8.79
25.5,8.14
26,9.16
26.5,8.72
27,8.86
27.5,8.87
28,8.53
28.5,8.3
29,8.45
