minutes,mean_intensity
-1,6.9
-0.5,6.97
0,2.82
0.5,2.99
1,3.36
1.5,3.73
2,3.95
2.5,3.89
3,4.73
3.5,3.82
4,3.77
4.5,4.04
5,3.79
5.5,5.64
6,4.05
6.5,5.47
7,5.01
7.5,4.07
8,5.54
8.5,5.01
9,4.73
9.5,4.02
10,3.73
10.5,4.7
11,4.95
11.5,4.44
12,4.84
12.5,5.2
13,4.44
13.5,5.57
14,6.23
14.5,5.87
15,6.88
15.5,5.27
16,4.39
16.5,5.58
17,5.33
17.5,6.09
18,4.71
18.5,5.12
19,4.58
19.5,4.33
20,4.18
20.5,4.57
21,4.18
21.5,3.27
22,5.38
22.5,4.77
23,5.58
23.5,6.58
24,5.37
24.5,5.26
25,4.81
25.5,4.29
26,5.18
26.5,5.59
27,5.63
27.5,4.93
28,4.55
28.5,4.47
29,3.9
