minutes,mean_intensity
-1,5.85
-0.5,11.21
0,10.638
0.5,10.673
1,9.915
1.5,2.507
2,9.36
2.5,7.471
3,8.778
3.5,9.246
4,8.244
4.5,6.8
5,1.994
5.5,8.19
6,7.152
6.5,6.455
7,7.091
7.5,6.261
8,2.053
8.5,5.622
9,6.093
9.5,6.166
10,5.911
10.5,5.844
11,5.339
11.5,4.442
12,5.372
12.5,6.184
13,6.576
13.5,8.133
14,7.659
14.5,7.473
15,6.867
15.5,8.178
16,6.762
16.5,7.598
17,6.279
17.5,6.149
18,6.17
18.5,6.309
19,6.438
19.5,8.311
20,8.376
20.5,7.752
21,7.152
21.5,6.749
22,7.331
22.5,7.099
23,6.442
23.5,6.339
24,6.2
24.5,5.812
25,5.584
25.5,5.675
26,5.816
26.5,5.592
27,5.937
27.5,6.335
28,5.455
28.5,5.465
29,5.129
