minutes,mean_intensity
-1,7.19
-0.5,7.365
0,2.135
0.5,2.181
1,2.56
1.5,2.404
2,2.602
2.5,2.61
3,2.831
3.5,2.321
4,2.433
4.5,2.296
5,2.273
5.5,2.583
6,2.042
6.5,2.315
7,2.085
7.5,2.283
8,2.658
8.5,2.39
9,2.538
9.5,2.325
10,2.331
10.5,2.075
11,2.746
11.5,3.696
12,2.871
12.5,2.612
13,2.717
13.5,2.592
14,2.421
14.5,2.379
15,2.423
15.5,2.127
16,2.775
16.5,2.465
17,2.871
17.5,2.66
18,2.292
18.5,2.413
19,2.281
19.5,2.925
20,2.862
20.5,3.485
21,3.29
21.5,2.927
22,3.096
22.5,3.427
23,3.15
23.5,3.154
24,3.415
24.5,3.015
25,3.271
25.5,2.9
26,3.152
26.5,2.971
27,3.394
27.5,3.198
28,3.883
28.5,3.733
29,3.548
