minutes,mean_intensity
-1,5.45
-0.5,5.29
0,1.42
0.5,2.29
1,2.33
1.5,2.92
2,3.29
2.5,2.85
3,2.84
3.5,2.75
4,2.32
4.5,2.5
5,2.38
5.5,2.7
6,4.1
6.5,4.35
7,3.67
7.5,5.19
8,5.03
8.5,6.06
9,6.23
9.5,5.81
10,6.94
10.5,6.13
11,5.19
11.5,4.84
12,3.88
12.5,3.3
13,3.18
13.5,2.77
14,2.39
14.5,3.26
15,3.29
15.5,3.71
16,4.13
16.5,3.67
17,3.97
17.5,3.22
18,2.76
18.5,3.9
19,3.57
19.5,4.52
20,4.11
20.5,4.57
21,3.48
21.5,3.63
22,3.36
22.5,3.26
23,2.92
23.5,3.52
24,3.13
24.5,3.16
25,3.42
25.5,2.71
26,3.32
26.5,3.38
27,3.56
27.5,3.42
28,2.91
28.5,2.81
29,3.12
