minutes,mean_intensity
-1,13.43
-0.5,12.64
0,4.98
0.5,6.01
1,5.34
1.5,6.06
2,6.54
2.5,5.85
3,5.95
3.5,5.93
4,6.1
4.5,5.67
5,6.2
5.5,7.57
6,7.04
6.5,7.61
7,6.79
7.5,8.76
8,7.7
8.5,7
9,7.7
9.5,8.19
10,8.49
10.5,8.16
11,7.85
11.5,6.51
12,7.98
12.5,7.76
13,8.03
13.5,7.8
14,8.91
14.5,9.21
15,9.03
15.5,9.97
16,9.43
16.5,9.46
17,11.44
17.5,10.32
18,9.85
18.5,9.81
19,10.3
19.5,9.15
20,9.26
20.5,8.4
21,8.52
21.5,7.72
22,7.26
22.5,6.74
23,6.54
23.5,6.98
24,6.34
24.5,6.5
25,5.85
25.5,6.94
26,6.31
26.5,7.21
27,6.64
27.5,6.95
28,6.14
28.5,6.63
29,7.47
