minutes,mean_intensity
-1,10.355
-0.5,10.227
0,2.169
0.5,2.483
1,3.073
1.5,3.017
2,2.911
2.5,3.773
3,4.13
3.5,3.737
4,3.622
4.5,3.639
5,3.998
5.5,2.509
6,2.866
6.5,2.616
7,2.881
7.5,2.681
8,2.786
8.5,2.53
9,2.62
9.5,2.419
10,2.377
10.5,2.308
11,2.544
11.5,2.584
12,2.773
12.5,2.544
13,2.647
13.5,2.688
14,3.08
14.5,2.948
15,3.495
15.5,3.312
16,3.255
16.5,3.237
17,2.872
17.5,3.002
18,3.456
18.5,3.017
19,3.097
19.5,3.112
20,3.548
20.5,2.998
21,3.32
21.5,3.12
22,2.898
22.5,2.972
23,3.067
23.5,2.902
24,3.105
24.5,2.922
25,2.861
25.5,3.017
26,3.284
26.5,3.052
27,2.942
27.5,2.812
28,2.841
28.5,3.13
29,3.006
