minutes,mean_intensity
-1,6.84
-0.5,6.945
0,2.907
0.5,2.88
1,2.902
1.5,2.213
2,3.489
2.5,3.193
3,3.634
3.5,3.779
4,3.514
4.5,3.421
5,2.652
5.5,2.86
6,2.95
6.5,2.862
7,2.777
7.5,3.218
8,3.689
8.5,3.248
9,3.143
9.5,3.93
10,4.516
10.5,4.416
11,4.534
11.5,4.574
12,4.218
12.5,4.499
13,3.862
13.5,4.271
14,3.679
14.5,3.832
15,3.769
15.5,3.882
16,3.682
16.5,3.228
17,3.133
17.5,3.098
18,3.454
18.5,3.04
19,3.303
19.5,3.311
20,2.832
20.5,3.05
21,2.749
21.5,2.714
22,2.985
22.5,3.258
23,3.118
23.5,3.346
24,3.451
24.5,2.832
25,2.93
25.5,2.727
26,2.845
26.5,2.351
27,2.586
27.5,3.15
28,2.591
28.5,2.654
29,2.739
