minutes,mean_intensity
-1,7.948
-0.5,8.514
0,6.975
0.5,7.86
1,8.313
1.5,7.56
2,7.247
2.5,8.621
3,8.651
3.5,8.728
4,8.593
4.5,9.81
5,9.739
5.5,10.099
6,10.47
6.5,8.525
7,9.027
7.5,8.137
8,8.069
8.5,8.857
9,9.055
9.5,9.335
10,10.909
10.5,9.239
11,7.868
11.5,7.684
12,8.802
12.5,8.228
13,8.154
13.5,8.854
14,9.19
14.5,9.788
15,10.544
15.5,11.618
16,12.602
16.5,12.566
17,11.277
17.5,9.893
18,10.827
18.5,11.066
19,11.201
19.5,10.201
20,11.426
20.5,9.522
21,8.679
21.5,8.874
22,8.734
22.5,9.291
23,10.247
23.5,9.376
24,8.374
24.5,8.637
25,8.019
25.5,9.255
26,8.124
26.5,9
27,9.838
27.5,9.808
28,10.195
28.5,9.684
29,9.066
