minutes,mean_intensity
-1,12.53
-0.5,12.84
0,15.33
0.5,15.33
1,13.44
1.5,10.68
2,11.78
2.5,11.86
3,12.7
3.5,11.55
4,13.05
4.5,11.7
5,13.51
5.5,10.02
6,8.07
6.5,8.86
7,9.88
7.5,7.99
8,7.99
8.5,7.96
9,8.84
9.5,9.09
10,9.47
10.5,8.87
11,9.38
11.5,10.12
12,10.86
12.5,11.5
13,10.53
13.5,10.95
14,10.88
14.5,12.11
15,10.79
15.5,10.98
16,9.38
16.5,10.37
17,10.47
17.5,11.71
18,10.9
18.5,10.82
19,11.31
19.5,11.41
20,11.43
20.5,12.53
21,12.41
21.5,10.53
22,12.41
22.5,10.98
23,10.84
23.5,10.1
24,11.33
24.5,10.44
25,12.72
25.5,12.64
26,11.92
26.5,9.52
27,9.06
27.5,9.91
28,10.59
28.5,8.3
29,8.41
