minutes,mean_intensity
-1,8.863
-0.5,8.773
0,8.131
0.5,8.061
1,7.808
1.5,8.48
2,7.372
2.5,7.125
3,7.044
3.5,7.305
4,7.669
4.5,9.099
5,6.907
5.5,8.169
6,7.578
6.5,7.843
7,7.683
7.5,8.273
8,8.491
8.5,8.567
9,8.201
9.5,9.148
10,8.651
10.5,8.785
11,10.195
11.5,8.61
12,8.297
12.5,8.401
13,9.177
13.5,8.866
14,9.195
14.5,10.18
15,11.602
15.5,10.831
16,12.195
16.5,10.578
17,10.052
17.5,9.86
18,10.82
18.5,9.666
19,9.134
19.5,8.782
20,9.765
20.5,9.517
21,10.096
21.5,9.669
22,9.186
22.5,8.317
23,9.177
23.5,8.971
24,9.119
24.5,8.198
25,8.43
25.5,7.773
26,7.273
26.5,7.762
27,7.994
27.5,8.424
28,8.433
28.5,8.677
29,10.27
