minutes,mean_intensity
-1,7.758
-0.5,7.567
0,7.022
0.5,6.783
1,6.618
1.5,6.659
2,5.455
2.5,6.398
3,6.334
3.5,5.497
4,5.175
4.5,5.299
5,6.551
5.5,6.771
6,6.328
6.5,5.331
7,5.847
7.5,5.42
8,6.583
8.5,5.586
9,4.787
9.5,3.994
10,4.968
10.5,4.385
11,5.385
11.5,4.242
12,3.962
12.5,5.5
13,6.481
13.5,5.742
14,6.162
14.5,5.892
15,4.994
15.5,5.248
16,4.818
16.5,4.752
17,5.685
17.5,5.78
18,6.108
18.5,5.736
19,6.411
19.5,5.822
20,5.981
20.5,5.895
21,5.869
21.5,4.564
22,4.901
22.5,4.067
23,4.395
23.5,3.825
24,4.401
24.5,4.596
25,3.726
25.5,4.102
26,3.736
26.5,4.78
27,4.057
27.5,4.43
28,4.736
28.5,4.395
29,3.949
