minutes,mean_intensity
-1,12.32
-0.5,12.87
0,13.74
0.5,15.17
1,14.23
1.5,13.15
2,13.05
2.5,11.32
3,12.06
3.5,13.5
4,16.11
4.5,17.67
5,13.7
5.5,15.45
6,15.38
6.5,15.7
7,14.48
7.5,13.24
8,14.52
8.5,14.13
9,11.5
9.5,12.15
10,11.99
10.5,10.48
11,10.67
11.5,10.95
12,10.77
12.5,10.45
13,10.19
13.5,11.06
14,10.74
14.5,10.57
15,11.08
15.5,10.88
16,10.39
16.5,9.42
17,9.98
17.5,9.84
18,9.44
18.5,8.92
19,9.36
19.5,8.42
20,10.53
20.5,7.21
21,8.23
21.5,7.16
22,6.66
22.5,8.82
23,7.88
23.5,8.3
24,9.07
24.5,7.22
25,7.23
25.5,7.68
26,6.31
26.5,8.05
27,7.52
27.5,8.13
28,7.61
28.5,7.02
29,7.16
