minutes,mean_intensity
-1,8.829
-0.5,9.53
0,2.039
0.5,2.057
1,3.103
1.5,2.566
2,3.359
2.5,2.742
3,3.429
3.5,3.021
4,3.571
4.5,4.191
5,4.672
5.5,3.385
6,3.721
6.5,3.362
7,4.067
7.5,4.186
8,4.685
8.5,4.612
9,4.54
9.5,4.408
10,5.116
10.5,4.705
11,4.509
11.5,5.067
12,5.289
12.5,5.075
13,5.561
13.5,4.393
14,4.698
14.5,4.522
15,5.013
15.5,4.703
16,4.052
16.5,4.413
17,4.618
17.5,4.282
18,4.504
18.5,4.01
19,3.848
19.5,4.248
20,4.654
20.5,4.481
21,4.902
21.5,5.408
22,4.974
22.5,5.109
23,5.15
23.5,5.271
24,5.339
24.5,5.214
25,5.579
25.5,5.354
26,4.922
26.5,5.837
27,5.548
27.5,4.806
28,4.762
28.5,5.664
29,5.602
