minutes,mean_intensity
-1,22.59
-0.5,22.08
0,6.05
0.5,6.8
1,6.82
1.5,8.2
2,7.57
2.5,7.58
3,8.2
3.5,7.86
4,7.33
4.5,7.88
5,7.63
5.5,7.5
6,8.35
6.5,8.71
7,7.81
7.5,7.7
8,7.16
8.5,7.86
9,7.38
9.5,6.94
10,6.81
10.5,6.53
11,6.61
11.5,5.68
12,6.53
12.5,6.4
13,6.16
13.5,6.35
14,6.72
14.5,7.03
15,7.65
15.5,7.59
16,8.17
16.5,7.07
17,7.34
17.5,8.68
18,8.47
18.5,7.81
19,7.87
19.5,7.29
20,8.05
20.5,8.62
21,9.16
21.5,8.88
22,7.81
22.5,7.9
23,8.92
23.5,8.34
24,8.6
24.5,8.15
25,6.69
25.5,7.32
26,7.44
26.5,7.58
27,7.68
27.5,6.76
28,6.35
28.5,6.35
29,5.42
