minutes,mean_intensity
-1,19.49
-0.5,18.29
0,19.47
0.5,17.95
1,16.26
1.5,14.01
2,12.75
2.5,11.12
3,10.27
3.5,10.56
4,11.71
4.5,10.52
5,11.43
5.5,9.15
6,10.42
6.5,9.35
7,9.8
7.5,8.57
8,9.36
8.5,10.99
9,10.56
9.5,10.33
10,11.15
10.5,9.83
11,9.73
11.5,10.14
12,10.55
12.5,9.51
13,9.74
13.5,9.7
14,9.88
14.5,8.82
15,8.9
15.5,8.72
16,8.57
16.5,8.3
17,8.55
17.5,7.9
18,8.16
18.5,8.99
19,9.22
19.5,9.07
20,8.49
20.5,8.14
21,8.58
21.5,9.31
22,8.79
22.5,8.44
23,8.95
23.5,9.77
24,9.85
24.5,9.79
25,9.78
25.5,9.81
26,9.42
26.5,9.52
27,8.58
27.5,9.16
28,9.29
28.5,8.12
29,8.72
