minutes,mean_intensity
-1,5.867
-0.5,6.605
0,1.392
0.5,1.563
1,2.452
1.5,1.886
2,1.89
2.5,1.798
3,1.494
3.5,1.593
4,2.156
4.5,2.221
5,2.711
5.5,2.886
6,3.236
6.5,3.27
7,3.266
7.5,3.213
8,3.703
8.5,3.688
9,3.449
9.5,3.137
10,3.426
10.5,3.54
11,5.281
11.5,5.498
12,5.133
12.5,5.479
13,4.414
13.5,4.597
14,4.099
14.5,4.392
15,4.224
15.5,4.544
16,3.958
16.5,3.962
17,4.612
17.5,4.376
18,5.365
18.5,4.696
19,6.08
19.5,4.837
20,4.468
20.5,4.186
21,4.392
21.5,3.734
22,4.3
22.5,3.992
23,5.837
23.5,5.129
24,5.084
24.5,4.665
25,4.563
25.5,4.597
26,4.757
26.5,4.27
27,4.806
27.5,4.125
28,4.255
28.5,3.878
29,4.593
