minutes,mean_intensity
-1,9.1
-0.5,9.31
0,10.92
0.5,10.79
1,11.51
1.5,12.48
2,13.1
2.5,13.09
3,12.46
3.5,12.74
4,12.8
4.5,9.67
5,9.19
5.5,8.6
6,8.52
6.5,9.35
7,9.22
7.5,9.67
8,9.4
8.5,10.85
9,11.26
9.5,8.88
10,8.9
10.5,7.71
11,8.45
11.5,7.87
12,7.07
12.5,8.4
13,8.25
13.5,7.23
14,7.86
14.5,7.03
15,7.6
15.5,7.66
16,7.71
16.5,7.39
17,6.88
17.5,7.14
18,7.02
18.5,6.53
19,6.43
19.5,6.47
20,7.35
20.5,7.86
21,7.28
21.5,7.39
22,6.95
22.5,7.61
23,6.86
23.5,6.92
24,6.84
24.5,6.29
25,6.41
25.5,6.63
26,6.43
26.5,6.57
27,6.08
27.5,6.47
28,6.47
28.5,6.49
29,7.36
