minutes,mean_intensity
-1,7.96
-0.5,8.23
0,7.85
0.5,6.93
1,7.24
1.5,6.64
2,6.45
2.5,6.13
3,5.55
3.5,7.29
4,8.04
4.5,7.34
5,7.72
5.5,7.58
6,7.99
6.5,9.01
7,8.03
7.5,6.4
8,7.85
8.5,8.22
9,6.84
9.5,7.6
10,7.93
10.5,7.19
11,7.04
11.5,6.88
12,6.88
12.5,6.61
13,6.66
13.5,6.24
14,6.5
14.5,5.18
15,5.94
15.5,5.33
16,6
16.5,6.09
17,4.84
17.5,4.63
18,5.74
18.5,7.61
19,6.43
19.5,5.86
20,5.93
20.5,5.83
21,4.46
21.5,5.78
22,5.05
22.5,4.62
23,4.65
23.5,5.12
24,4.17
24.5,5.88
25,5.33
25.5,5.09
26,4.75
26.5,5.03
27,4.26
27.5,4.82
28,3.92
28.5,5.01
29,5.02
