minutes,mean_intensity
-1,17
-0.5,16.7
0,15.36
0.5,15.43
1,15.11
1.5,15.77
2,14.79
2.5,13.42
3,14.5
3.5,14.02
4,14.48
4.5,12.25
5,13.95
5.5,12.14
6,13
6.5,12.49
7,11.4
7.5,11.6
8,9.3
8.5,11.72
9,11.06
9.5,12.34
10,11.69
10.5,11.34
11,10.42
11.5,11.58
12,12.8
12.5,11.74
13,11.8
13.5,11.06
14,10.75
14.5,12.24
15,11.28
15.5,12.52
16,11.65
16.5,12.3
17,10.97
17.5,13.43
18,14.4
18.5,11.35
19,11.48
19.5,12.64
20,12.07
20.5,12.84
21,13.72
21.5,11.87
22,12.33
22.5,11.1
23,11.67
23.5,11.56
24,11.77
24.5,10.69
25,9.35
25.5,7.79
26,9.5
26.5,11.37
27,11.18
27.5,9.21
28,9.98
28.5,12.4
29,12.18
