minutes,mean_intensity
-1,6.23
-0.5,5.62
0,5.23
0.5,5.95
1,6.1
1.5,5.67
2,6.06
2.5,5.83
3,6.95
3.5,7.14
4,7.42
4.5,7.31
5,6.9
5.5,7.55
6,6.14
6.5,5.16
7,4.97
7.5,4.55
8,4.56
8.5,4.94
9,5.25
9.5,5.09
10,6.05
10.5,7.01
11,5.14
11.5,6.26
12,7.14
12.5,5.75
13,7.35
13.5,7.22
14,6.75
14.5,7.01
15,5.67
15.5,5.47
16,6.19
16.5,7.42
17,7.56
17.5,6.94
18,8.48
18.5,8.07
19,8.02
19.5,7.43
20,6.25
20.5,5.93
21,7.17
21.5,5.99
22,5.92
22.5,5.28
23,4.53
23.5,4.37
24,4.32
24.5,4.34
25,4.38
25.5,4.29
26,3.73
26.5,3.69
27,3.4
27.5,3.89
28,3.73
28.5,5.07
29,5.47
