minutes,mean_intensity
-1,8.054
-0.5,7.043
0,7.516
0.5,8.016
1,7.373
1.5,7.742
2,6.846
2.5,7.717
3,8.034
3.5,7.824
4,7.928
4.5,7.955
5,7.529
5.5,7.566
6,7.027
6.5,7.249
7,7.328
7.5,6.774
8,6.785
8.5,6.337
9,6.975
9.5,6.729
10,6.084
10.5,6.355
11,6.278
11.5,6.163
12,6.889
12.5,6.457
13,7.12
13.5,6.577
14,6.335
14.5,6.527
15,6.799
15.5,7.147
16,4.833
16.5,4.919
17,4.939
17.5,4.665
18,5.061
18.5,5.998
19,6.552
19.5,6.045
20,6.627
20.5,7.174
21,5.91
21.5,6.305
22,6.054
22.5,6.172
23,6.421
23.5,6.348
24,6.05
24.5,6.803
25,5.423
25.5,6.353
26,5.907
26.5,6.109
27,4.67
27.5,5.249
28,4.81
28.5,4.095
29,3.665
