minutes,mean_intensity
-1,6.58
-0.5,7.255
0,7.476
0.5,7.628
1,7.723
1.5,7.613
2,8.147
2.5,7.437
3,7.498
3.5,7.526
4,7.398
4.5,7.115
5,6.394
5.5,6.866
6,5.732
6.5,5.481
7,5.626
7.5,5.5
8,6.703
8.5,6.21
9,4.887
9.5,5.368
10,5.758
10.5,5.108
11,5.736
11.5,5.201
12,4.877
12.5,4.37
13,3.452
13.5,3.669
14,3.924
14.5,4.048
15,4.695
15.5,4.455
16,3.742
16.5,4.487
17,5.18
17.5,4.677
18,5.225
18.5,5.556
19,5.617
19.5,4.929
20,5.394
20.5,3.911
21,4.736
21.5,3.963
22,4.435
22.5,5.152
23,4.584
23.5,5.24
24,5.617
24.5,6.154
25,5.773
25.5,7.266
26,6.656
26.5,6.69
27,6.47
27.5,6.978
28,6.981
28.5,5.994
29,6.522
