minutes,mean_intensity
-1,11.36
-0.5,11.69
0,2.99
0.5,2.97
1,4.41
1.5,3.45
2,3.18
2.5,3.44
3,4.56
3.5,5.94
4,5.83
4.5,6.38
5,6.95
5.5,5.89
6,6.1
6.5,8.21
7,9.04
7.5,11.08
8,10.67
8.5,11.53
9,10.01
9.5,9.47
10,8.9
10.5,8.81
11,8.65
11.5,8.39
12,6.82
12.5,6.33
13,6.02
13.5,7.12
14,5.71
14.5,4.95
15,6.08
15.5,5.52
16,5.96
16.5,6.59
17,6.22
17.5,5.46
18,6.49
18.5,5.15
19,7.79
19.5,7.55
20,6.7
20.5,5.9
21,6.25
21.5,5.38
22,5.28
22.5,5.61
23,6.39
23.5,7.73
24,8.21
24.5,7.63
25,7.38
25.5,6.85
26,6.82
26.5,5.56
27,5.85
27.5,6.65
28,6.36
28.5,6.05
29,7.59
