minutes,mean_intensity
-1,14.56
-0.5,14.94
0,3.17
0.5,3.88
1,4.04
1.5,4.39
2,3.85
2.5,4.62
3,5.37
3.5,5.22
4,4.84
4.5,4.89
5,5.19
5.5,5.11
6,5.48
6.5,5.42
7,6.42
7.5,6.97
8,5.64
8.5,6.81
9,7.37
9.5,3.93
10,4.83
10.5,4.14
11,4.6
11.5,4.57
12,5.26
12.5,4.37
13,5.49
13.5,4.66
14,3.63
14.5,5.21
15,5.26
15.5,4.21
16,3.76
16.5,3.72
17,4.11
17.5,4.94
18,3.12
18.5,5.33
19,4.33
19.5,4.77
20,5.37
20.5,4.96
21,5.94
21.5,4.87
22,4.73
22.5,4.87
23,5.48
23.5,5.38
24,4.88
24.5,5.29
25,5.43
25.5,5.73
26,5.63
26.5,4.96
27,4.68
27.5,4.16
28,3.72
28.5,4.54
29,4.71
