minutes,mean_intensity
-1,8.25
-0.5,7.38
0,2.51
0.5,2.52
1,3.18
1.5,2.95
2,2.88
2.5,3
3,2.86
3.5,3.19
4,3.81
4.5,3.91
5,3.95
5.5,4.52
6,3
6.5,3
7,3.32
7.5,4.47
8,3.89
8.5,4.14
9,4.03
9.5,3.86
10,5.03
10.5,5.27
11,4.8
11.5,4.56
12,5.15
12.5,4.61
13,5.27
13.5,5.52
14,5.48
14.5,5.89
15,4
15.5,3.95
16,4.86
16.5,5.11
17,5.29
17.5,5.14
18,5.14
18.5,4.3
19,5.47
19.5,4.42
20,5.01
20.5,6.03
21,5.95
21.5,6.2
22,6.7
22.5,7.19
23,7.3
23.5,6.78
24,7.83
24.5,6.71
25,7.19
25.5,6.83
26,7.28
26.5,7.03
27,6.93
27.5,6.03
28,5.89
28.5,5.86
29,6.27
